# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 18 14:15:05 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
#
rowid,pl_hostname,pl_letter,pl_orbper,st_teff,st_rad,pl_eqt,pl_trandep,pl_trandur,pl_imppar,st_logg
401,HD 20794,c,40.11400000,,,508,,,,
402,HD 20794,d,90.30900000,,,388,,,,
403,HD 208487,b,130.08000000,6067.00,,,,,,4.33
404,HD 208527,b,875.50000000,4035.00,51.10,,,,,1.40
405,HD 20868,b,380.85000000,4795.00,0.79,,,,,4.22
406,HD 209458,b,3.52474859,6117.00,1.16,1459,,,,4.37
407,HD 210277,b,442.19000000,5555.00,,,,,,4.50
408,HD 210702,b,354.80000000,4967.00,5.10,,,,,
409,HD 212301,b,2.24571500,6256.00,,,,,,4.52
410,HD 212771,b,373.30000000,5121.00,5.00,,,,,3.50
411,HD 213240,b,951.00000000,,,,,,,
412,HD 215497,b,3.93404000,5113.00,,,,,,4.31
413,HD 215497,c,567.94000000,5113.00,,,,,,4.31
414,HD 216435,b,1311.00000000,5999.00,,,,,,4.15
415,HD 216437,b,1256.00000000,,,,,,,
416,HD 216536,b,148.60000000,4639.00,12.50,,,,,2.36
417,HD 216770,b,118.45000000,,,,,,,
418,HD 217107,b,7.12681600,5646.00,,,,,,4.31
419,HD 217107,c,4270.00000000,5646.00,,,,,,4.31
420,HD 217786,b,1319.00000000,,,,,,,
421,HD 218566,b,225.70000000,4820.00,0.86,,,,,4.81
422,HD 219077,b,5501.00000000,5362.00,1.91,,,,,4.00
423,HD 219134,b,3.09370000,4699.00,0.78,,0.035900,0.0399000,0.9200,4.63
424,HD 219134,c,6.76500000,4699.00,0.78,,,,,4.63
425,HD 219134,d,46.78000000,4699.00,0.78,,,,,4.63
426,HD 219134,e,1190.00000000,4699.00,0.78,,,,,4.63
427,HD 219415,b,2093.30000000,4820.00,2.90,,,,,
428,HD 219828,b,3.83350000,,,,,,,
429,HD 220074,b,672.10000000,3935.00,49.70,,,,,1.10
430,HD 220689,b,2209.00000000,5921.00,1.07,,,,,4.32
431,HD 220773,b,3724.70000000,,,,,,,
432,HD 221287,b,456.10000000,6304.00,,,,,,4.43
433,HD 222155,b,3999.00000000,5765.00,1.67,,,,,4.10
434,HD 222582,b,572.38000000,5727.00,,,,,,4.34
435,HD 224693,b,26.73000000,6037.00,1.70,,,,,4.38
436,HD 22781,b,528.07000000,,,,,,,
437,HD 23079,b,730.60000000,,,,,,,
438,HD 23127,b,1214.00000000,,,,,,,
439,HD 231701,b,141.60000000,6208.00,1.35,,,,,4.33
440,HD 233604,b,192.00000000,4791.00,10.90,,,,,2.55
441,HD 23596,b,1561.00000000,,,,,,,
442,HD 240210,b,501.75000000,4297.00,,,,,,2.31
443,HD 240237,b,745.70000000,4361.00,32.00,,,,,1.66
444,HD 24040,b,3668.00000000,5853.00,,,,,,4.36
445,HD 25171,b,1845.00000000,,,,,,,
446,HD 2638,b,3.44420000,5192.00,,,,,,4.29
447,HD 27442,b,428.10000000,,,,,,,
448,HD 27631,b,2208.00000000,5737.00,1.00,,,,,4.48
449,HD 27894,b,17.99040000,4875.00,,,,,,4.22
450,HD 28185,b,385.90000000,,,,,,,
451,HD 28254,b,1116.00000000,5664.00,1.48,,,,,4.12
452,HD 285507,b,6.08810000,4503.00,0.66,,,,,4.67
453,HD 285968,b,8.78360000,3679.00,0.45,450,,,,
454,HD 28678,b,387.10000000,,,,,,,
455,HD 290327,b,2443.00000000,5552.00,1.00,,,,,4.42
456,HD 2952,b,311.60000000,4844.00,12.02,,,,,2.67
457,HD 30177,b,2770.00000000,5588.00,,,,,,4.29
458,HD 30562,b,1159.20000000,5994.00,1.53,,,,,4.34
459,HD 30669,b,1684.00000000,5400.00,0.91,,,,,4.37
460,HD 30856,b,912.00000000,,,,,,,
461,HD 31253,b,466.00000000,5960.00,1.71,,,,,4.10
462,HD 32518,b,157.54000000,4580.00,10.22,,,,,2.10
463,HD 330075,b,3.38773000,5017.00,,990,,,,4.22
464,HD 33142,b,326.60000000,,,,,,,
465,HD 33283,b,18.17900000,5995.00,1.20,,,,,4.21
466,HD 33564,b,388.00000000,,,,,,,
467,HD 34445,b,1049.00000000,5836.00,1.38,,,,,4.21
468,HD 3651,b,62.21800000,,,,,,,
469,HD 37124,b,154.46000000,,,,,,,
470,HD 37124,c,843.60000000,,,,,,,
471,HD 37124,d,2295.00000000,,,,,,,
472,HD 37605,b,55.01307000,5448.00,0.90,,,,,4.51
473,HD 37605,c,2720.00000000,5448.00,0.90,,,,,4.51
474,HD 38283,b,363.20000000,,,,,,,
475,HD 38529,b,14.30980000,,,,,,,
476,HD 38529,c,2140.20000000,,,,,,,
477,HD 38801,b,696.30000000,5222.00,2.53,,,,,3.84
478,HD 39091,b,2151.00000000,,,,,,,
479,HD 40307,b,4.31230000,4956.00,,,,,,4.47
480,HD 40307,c,9.61840000,4956.00,,,,,,4.47
481,HD 40307,d,20.43200000,4956.00,,,,,,4.47
482,HD 40307,e,34.62000000,4956.00,,,,,,4.47
483,HD 40307,f,51.76000000,4956.00,,,,,,4.47
484,HD 40307,g,197.80000000,4956.00,,,,,,4.47
485,HD 40979,b,264.15000000,,,,,,,
486,HD 41004 A,b,963.00000000,5010.00,,,,,,4.42
487,HD 41004 B,b,1.32830000,,,,,,,
488,HD 4113,b,526.62000000,5688.00,,,,,,4.40
489,HD 4203,b,437.05000000,5702.00,,,,,,4.36
490,HD 4203,c,6700.00000000,5702.00,,,,,,4.36
491,HD 4208,b,828.00000000,,,,,,,
492,HD 4308,b,15.56000000,5685.00,,,,,,4.49
493,HD 4313,b,356.00000000,5035.00,4.90,,,,,3.40
494,HD 43197,b,327.80000000,5508.00,1.00,,,,,4.31
495,HD 43691,b,36.96000000,6200.00,,,,,,4.28
496,HD 44219,b,472.30000000,5752.00,1.32,,,,,4.21
497,HD 45350,b,963.60000000,5616.00,,,,,,4.32
498,HD 45364,b,226.93000000,,,,,,,
499,HD 45364,c,342.85000000,,,,,,,
500,HD 45652,b,43.60000000,5312.00,,,,,,4.32
501,HD 46375,b,3.02357300,5285.00,,,,,,4.53
502,HD 47186,b,4.08450000,5675.00,,,,,,4.36
503,HD 47186,c,1353.60000000,5675.00,,,,,,4.36
504,HD 4732,b,360.20000000,4959.00,5.40,,,,,3.16
505,HD 4732,c,2732.00000000,4959.00,5.40,,,,,3.16
506,HD 47536,b,712.13000000,4424.00,22.39,,,,,2.13
507,HD 48265,b,762.00000000,5789.00,1.82,,,,,4.09
508,HD 49674,b,4.94737000,,,,,,,
509,HD 50499,b,2482.70000000,,,,,,,
510,HD 50554,b,1293.00000000,5987.00,1.02,,,,,
511,HD 52265,b,119.60000000,6060.00,1.10,405,,,,4.29
512,HD 5319,b,641.00000000,4958.00,3.85,,,,,3.45
513,HD 5319,c,886.00000000,4958.00,3.85,,,,,3.45
514,HD 5608,b,792.60000000,4854.00,5.50,,,,,
515,HD 564,b,492.30000000,5902.00,1.01,,,,,4.53
516,HD 5891,b,177.11000000,,,,,,,
517,HD 60532,b,201.30000000,6095.00,,,,,,3.83
518,HD 60532,c,604.00000000,6095.00,,,,,,3.83
519,HD 62509,b,589.64000000,4946.00,8.31,,,,,3.07
520,HD 63454,b,2.81804900,4840.00,1.05,,,,,4.30
521,HD 63765,b,358.00000000,,,,,,,
522,HD 6434,b,21.99800000,5835.00,,,,,,4.60
523,HD 65216,b,572.40000000,5666.00,,,,,,4.53
524,HD 65216,c,152.60000000,5666.00,,,,,,4.53
525,HD 66141,b,480.50000000,4323.00,21.40,,,,,1.78
526,HD 66428,b,1973.00000000,5752.00,,,,,,4.49
527,HD 67087,b,352.20000000,6330.00,1.55,,,,,4.19
528,HD 67087,c,2374.00000000,6330.00,1.55,,,,,4.19
529,HD 6718,b,2496.00000000,5746.00,1.02,,,,,4.48
530,HD 68988,b,6.27711000,5960.00,,,,,,4.41
531,HD 69830,b,8.66700000,5385.00,,,,,,
532,HD 69830,c,31.56000000,5385.00,,,,,,
533,HD 69830,d,197.00000000,5385.00,,,,,,
534,HD 70573,b,851.80000000,5737.00,,,,,,4.59
535,HD 70642,b,2068.00000000,5706.00,,,,,,4.43
536,HD 7199,b,615.00000000,5386.00,0.96,,,,,4.34
537,HD 72659,b,3383.00000000,,,,,,,
538,HD 73256,b,2.54858000,5570.00,0.89,,,,,4.66
539,HD 73267,b,1260.00000000,5317.00,1.04,,,,,4.28
540,HD 73526,b,188.90000000,,,,,,,
541,HD 73526,c,379.10000000,,,,,,,
542,HD 73534,b,1770.00000000,5041.00,2.39,,,,,3.78
543,HD 74156,b,51.64500000,,,,,,,
544,HD 74156,c,2473.00000000,,,,,,,
545,HD 7449,b,1275.00000000,6024.00,1.01,,,,,4.51
546,HD 7449,c,4046.00000000,6024.00,1.01,,,,,4.51
547,HD 75289,b,3.50926700,6095.00,,,,,,4.33
548,HD 75784,b,341.70000000,4917.00,3.30,,,,,3.56
549,HD 75898,b,418.20000000,6021.00,1.60,,,,,4.16
550,HD 76700,b,3.97100000,,,,,,,
551,HD 77338,b,5.73610000,5370.00,0.88,,,,,
552,HD 7924,b,5.39792000,5075.00,0.78,826,,,,4.59
553,HD 7924,c,15.29900000,5075.00,0.78,584,,,,4.59
554,HD 7924,d,24.45100000,5075.00,0.78,499,,,,4.59
555,HD 79498,b,1966.10000000,,,,,,,
556,HD 80606,b,111.43570000,5645.00,0.98,,,0.4958000,0.7500,
557,HD 81040,b,1001.70000000,5700.00,0.86,,,,,4.50
558,HD 81688,b,184.02000000,4753.00,13.00,,,,,2.22
559,HD 82886,b,705.00000000,,,,,,,
560,HD 82943,b,441.47000000,6016.00,,,,,,4.46
561,HD 82943,c,220.07800000,6016.00,,,,,,4.46
562,HD 83443,b,2.98569800,5454.00,,,,,,4.33
563,HD 8535,b,1313.00000000,6136.00,1.19,,,,,4.46
564,HD 85390,b,788.00000000,5186.00,,,,,,4.41
565,HD 85512,b,58.43000000,,,298,,,,
566,HD 8574,b,227.00000000,,,,,,,
567,HD 86081,b,2.13750000,,1.22,,,,,4.36
568,HD 86226,b,1695.00000000,5903.00,1.02,,,,,4.36
569,HD 86264,b,1475.00000000,,,,,,,
570,HD 8673,b,1634.00000000,,,,,,,
571,HD 87883,b,2754.00000000,,,,,,,
572,HD 88133,b,3.41587000,5494.00,1.93,,,,,4.23
573,HD 89307,b,2157.00000000,,,,,,,
574,HD 89744,b,256.78000000,,,,,,,
575,HD 90156,b,49.77000000,5599.00,,,,,,4.48
576,HD 92788,b,325.00000000,5821.00,,,,,,4.45
577,HD 93083,b,143.58000000,,,,,,,
578,HD 9446,b,30.05200000,,,,,,,
579,HD 9446,c,192.90000000,,,,,,,
580,HD 95086,b,,,,1000,,,,
581,HD 95089,b,507.00000000,5002.00,4.90,,,,,3.40
582,HD 95127,b,482.00000000,4218.00,20.00,,,,,1.78
583,HD 96063,b,361.10000000,,,,,,,
584,HD 96127,b,647.30000000,4152.00,35.00,,,,,2.06
585,HD 96167,b,498.90000000,5770.00,1.86,,,,,4.00
586,HD 97658,b,9.49030000,5170.00,0.74,757,0.077300,0.1187000,0.3500,4.58
587,HD 98219,b,436.90000000,,,,,,,
588,HD 98649,b,4951.00000000,5759.00,1.00,,,,,4.38
589,HD 99109,b,439.30000000,5272.00,,,,,,4.44
590,HD 99492,b,17.05400000,4740.00,0.96,,,,,4.77
591,HD 99492,c,4970.00000000,4740.00,0.96,,,,,4.77
592,HD 99706,b,868.00000000,,,,,,,
593,HIP 105854,b,184.20000000,4780.00,,,,,,2.94
594,HIP 107773,b,144.30000000,4945.00,11.60,,,,,2.60
595,HIP 116454,b,9.12050000,5089.00,0.72,690,0.096700,,0.6500,4.59
596,HIP 12961,b,57.43500000,,,,,,,
597,HIP 14810,b,6.67385500,5485.00,1.00,,,,,4.22
598,HIP 14810,c,147.73000000,5485.00,1.00,,,,,4.22
599,HIP 14810,d,952.00000000,5485.00,1.00,,,,,4.22
600,HIP 5158,b,345.72000000,4962.00,,,,,,4.37
601,HIP 5158,c,9017.80000000,4962.00,,,,,,4.37
602,HIP 57050,b,41.39700000,,,,,,,
603,HIP 57274,b,8.13520000,,,,,0.1283333,,
604,HIP 57274,c,32.03000000,,,,,0.2450000,,
605,HIP 57274,d,431.70000000,,,,,,,
606,HIP 63242,b,124.60000000,4830.00,,,,,,2.53
607,HIP 65891,b,1084.50000000,5000.00,8.93,,,,,2.90
608,HIP 67851,b,88.90000000,4890.00,5.92,,,,,3.15
609,HIP 67851,c,2131.80000000,4890.00,5.92,,,,,3.15
610,HIP 70849,b,17337.50000000,,,,,,,
611,HIP 75458,b,511.09800000,4530.00,,,,,,2.60
612,HIP 78530,b,,10500.00,,2700,,,,
613,HIP 79431,b,111.70000000,,,,,,,
614,HIP 91258,b,5.05050000,5519.00,1.00,,,,,4.53
615,HIP 97233,b,1058.80000000,5020.00,5.34,,,,,3.26
616,HN Peg,b,,,,,,,,
617,HR 810,b,312.00000000,,,,,,,
618,HR 8799,b,170000.00000000,,,,,,,
619,HR 8799,c,69000.00000000,,,,,,,
620,HR 8799,d,37000.00000000,,,,,,,
621,HR 8799,e,18000.00000000,,,,,,,
622,K2-10,b,19.30691000,5647.00,0.93,703,0.144000,,,
623,K2-11,b,39.93767000,5433.00,5.15,734,0.070000,,,
624,K2-12,b,8.28212000,5800.00,1.01,1003,0.042000,,,
625,K2-13,b,39.91488000,5698.00,0.78,511,0.058000,,,
626,K2-14,b,8.36802000,3789.00,0.45,488,0.943000,,,
627,K2-15,b,11.81040000,5131.00,0.68,676,0.121000,,,
628,K2-16,b,7.62067000,4761.00,0.64,710,,,,
629,K2-16,c,19.07536000,4761.00,0.64,523,,,,
630,K2-17,b,17.96753000,4320.00,0.66,487,0.099000,,,
631,K2-18,b,32.94488000,3503.00,0.39,272,0.285000,,,
632,K2-19,b,7.91943000,5519.00,0.81,913,,,,
633,K2-19,c,11.90691000,5519.00,0.81,797,,,,
634,K2-3,b,10.05403000,3896.00,0.56,,,0.1064000,0.3700,
635,K2-3,c,24.64540000,3896.00,0.56,,,0.1428000,0.4500,
636,K2-3,d,44.56310000,3896.00,0.56,,,0.1658000,0.3700,
637,K2-4,b,10.00329000,4197.00,0.60,563,0.120000,,,
638,K2-5,b,5.73491000,4102.00,0.52,634,,,,
639,K2-5,c,10.93406000,4102.00,0.52,511,,,,
640,K2-6,b,30.94191000,5850.00,0.96,615,0.068000,,,
641,K2-7,b,28.67992000,5772.00,0.96,651,0.053000,,,
642,K2-8,b,10.35176000,4890.00,0.74,691,0.078000,,,
643,K2-9,b,18.44883000,3468.00,0.25,284,0.283000,,,
644,KELT-1,b,1.21751400,6518.00,1.46,,0.608600,0.1151900,,
645,KELT-2 A,b,4.11379120,6151.00,1.83,,0.521000,0.2155000,,
646,KELT-3,b,2.70339040,6306.00,1.47,1816,0.882000,0.1313000,0.6060,4.21
647,KELT-6,b,7.84570000,6102.00,1.58,1313,0.602000,0.2300000,0.2000,4.07
648,KELT-7,b,2.73477490,6789.00,1.73,2048,0.828000,0.1463000,0.5970,4.15
649,KIC 10001893,b,0.21970000,27500.00,,,,,,5.35
650,KIC 10001893,c,0.32528000,27500.00,,,,,,5.35
651,KIC 10001893,d,0.81161000,27500.00,,,,,,5.35
652,KOI-12,b,17.85523330,6820.00,1.63,,,0.2828333,0.3629,4.34
653,KOI-13,b,1.76358770,8848.00,2.68,3320,0.464600,0.1319000,0.3475,3.94
654,KOI-142,b,10.95416000,5471.00,0.88,,,0.1367000,0.3720,4.53
655,KOI-142,c,22.33950000,5471.00,0.88,,,,,4.53
656,KOI-217,b,3.90512000,5545.00,0.86,,1.756000,,,4.54
657,KOI-351,b,7.00815100,6080.00,1.20,,,0.1663000,0.1300,4.40
658,KOI-351,c,8.71937500,6080.00,1.20,,,0.1838000,0.0900,4.40
659,KOI-351,d,59.73667000,6080.00,1.20,,,0.3500000,0.2800,4.40
660,KOI-351,e,91.93913000,6080.00,1.20,,,0.4046000,0.2700,4.40
661,KOI-351,f,124.91440000,6080.00,1.20,,,0.4558000,0.3500,4.40
662,KOI-351,g,210.60697000,6080.00,1.20,,,0.5247000,0.4500,4.40
663,KOI-351,h,331.60059000,6080.00,1.20,,,0.6140000,0.3600,4.40
664,KOI-55,b,0.24010400,27730.00,0.20,,,,,5.52
665,KOI-55,c,0.34288700,27730.00,0.20,,,,,5.52
666,KOI-94,b,3.74320800,6182.00,1.52,1486,,,0.0880,4.18
667,KOI-94,c,10.42364800,6182.00,1.52,1012,,,0.4100,4.18
668,KOI-94,d,22.34298900,6182.00,1.52,806,,,0.0550,4.18
669,KOI-94,e,54.32031000,6182.00,1.52,584,,,0.1800,4.18
670,Kapteyn,c,121.54000000,3550.00,0.29,,,,,
671,Kepler-10,b,0.83749070,5708.00,1.06,2169,,0.0755000,0.3100,4.34
672,Kepler-10,c,45.29430100,5708.00,1.06,584,,0.2874000,0.3600,4.34
673,Kepler-100,b,6.88705000,5825.00,1.49,,,,0.5400,4.12
674,Kepler-100,c,12.81590000,5825.00,1.49,,,,0.0500,4.12
675,Kepler-100,d,35.33310000,5825.00,1.49,,,,0.7500,4.12
676,Kepler-101,b,3.48768120,5667.00,1.56,1513,,0.1610000,0.5200,4.12
677,Kepler-101,c,6.02976000,5667.00,1.56,1413,,0.1600000,0.7500,4.12
678,Kepler-102,b,5.28696000,4909.00,0.76,,,,0.0600,4.58
679,Kepler-102,c,7.07142000,4909.00,0.76,,,,0.0600,4.58
680,Kepler-102,d,10.31170000,4909.00,0.76,,,,0.2200,4.58
681,Kepler-102,e,16.14570000,4909.00,0.76,,,,0.3000,4.58
682,Kepler-102,f,27.45360000,4909.00,0.76,,,,0.5700,4.58
683,Kepler-103,b,15.96540000,5845.00,1.44,,,,0.7200,4.16
684,Kepler-103,c,179.61200000,5845.00,1.44,,,,0.4400,4.16
685,Kepler-104,b,11.42754800,5711.00,1.35,,,0.1902000,0.4500,4.11
686,Kepler-104,c,23.66820500,5711.00,1.35,,,0.2447000,0.7700,4.11
687,Kepler-104,d,51.75539400,5711.00,1.35,,,0.3110000,0.7600,4.11
688,Kepler-105,b,5.41220000,5873.00,1.16,1418,0.060000,0.1375000,0.6400,4.30
689,Kepler-105,c,7.12593900,5873.00,1.16,,,0.1168000,0.2300,4.30
690,Kepler-106,b,6.16486000,5858.00,1.04,,,,0.3900,4.41
691,Kepler-106,c,13.57080000,5858.00,1.04,,,,0.6900,4.41
692,Kepler-106,d,23.98020000,5858.00,1.04,,,,0.4500,4.41
693,Kepler-106,e,43.84450000,5858.00,1.04,,,,0.2800,4.41
694,Kepler-107,b,3.17999700,5851.00,1.41,,,0.1455000,0.3400,4.20
695,Kepler-107,c,4.90142500,5851.00,1.41,,,0.1750000,0.7800,4.20
696,Kepler-107,d,7.95820300,5851.00,1.41,,,0.1782000,0.2700,4.20
697,Kepler-107,e,14.74904900,5851.00,1.41,,,0.2745000,0.9000,4.20
698,Kepler-108,b,49.18392100,5854.00,2.19,,,0.4699000,0.0300,3.90
699,Kepler-108,c,190.32349400,5854.00,2.19,,,0.6542000,0.8100,3.90
700,Kepler-109,b,6.48163000,5952.00,1.32,,,,0.5800,4.21
701,Kepler-109,c,21.22270000,5952.00,1.32,,,,0.1600,4.21
702,Kepler-11,b,10.30390000,5663.00,1.07,,0.030130,0.1715000,0.1160,4.37
703,Kepler-11,c,13.02410000,5663.00,1.07,,0.075080,0.1893000,0.1560,4.37
704,Kepler-11,d,22.68450000,5663.00,1.07,,0.088500,0.2328000,0.1810,4.37
705,Kepler-11,e,31.99960000,5663.00,1.07,,0.133300,0.1735000,0.7630,4.37
706,Kepler-11,f,46.68880000,5663.00,1.07,,0.054800,0.2680000,0.4630,4.37
707,Kepler-11,g,118.38070000,5663.00,1.07,,0.100600,0.3945000,0.2170,4.37
708,Kepler-110,b,12.69111200,5960.00,1.15,,,0.1565000,0.1300,4.33
709,Kepler-110,c,31.71977500,5960.00,1.15,,,0.2010000,0.0100,4.33
710,Kepler-111,b,3.34181500,5952.00,1.16,,,0.1154000,0.0100,4.38
711,Kepler-111,c,224.78460800,5952.00,1.16,,,0.4664000,0.7200,4.38
712,Kepler-112,b,8.40887800,5544.00,0.84,,,0.1452000,0.0400,4.51
713,Kepler-112,c,28.57426300,5544.00,0.84,,,0.2068000,0.0800,4.51
714,Kepler-113,b,4.75400000,4725.00,0.69,,,,0.0800,4.64
715,Kepler-113,c,8.92507000,4725.00,0.69,,,,0.5600,4.64
716,Kepler-114,b,5.18854900,4605.00,0.67,,,0.1015000,0.6900,4.65
717,Kepler-114,c,8.04100000,4605.00,0.67,,,,,4.65
718,Kepler-114,d,11.77600000,4605.00,0.67,,,,,4.65
719,Kepler-115,b,2.40367900,5979.00,1.21,,,0.0544000,0.4300,4.31
720,Kepler-115,c,8.99088900,5979.00,1.21,,,0.1701000,0.1100,4.31
721,Kepler-116,b,5.96873400,6142.00,1.45,,,0.1516000,0.5600,4.20
722,Kepler-116,c,13.07163000,6142.00,1.45,,,0.1260000,0.1900,4.20
723,Kepler-117,b,18.79592280,6150.00,1.61,984,,0.3024000,0.4460,4.10
724,Kepler-117,c,50.79039100,6150.00,1.61,704,,0.4535000,0.2680,4.10
725,Kepler-118,b,7.51849600,5274.00,1.09,,,0.1190000,0.7200,4.32
726,Kepler-118,c,20.17202000,5274.00,1.09,,,0.1295000,0.0200,4.32
727,Kepler-119,b,2.42208200,5595.00,0.84,,,0.1072000,0.3000,4.57
728,Kepler-119,c,4.12510300,5595.00,0.84,,,0.1183000,0.5100,4.57
729,Kepler-12,b,4.43796370,5947.00,1.48,,1.376500,0.1957300,0.1740,4.17
730,Kepler-120,b,6.31250100,4096.00,0.53,,,0.1212000,0.7900,4.73
731,Kepler-120,c,12.79458500,4096.00,0.53,,,0.1437000,0.4100,4.73
732,Kepler-121,b,3.17742200,5311.00,0.70,,,0.0615000,0.1100,4.65
733,Kepler-121,c,41.00801100,5311.00,0.70,,,0.1657000,0.4900,4.65
734,Kepler-122,b,5.76619300,6050.00,1.22,,,0.1602000,0.0000,4.30
735,Kepler-122,c,12.46598800,6050.00,1.22,,,0.2110000,0.5000,4.30
736,Kepler-122,d,21.58747500,6050.00,1.22,,,0.1951000,0.0100,4.30
737,Kepler-122,e,37.99327300,6050.00,1.22,,,0.2981000,0.8400,4.30
738,Kepler-122,f,56.26800000,6050.00,1.22,,,,,4.30
739,Kepler-123,b,17.23236600,6089.00,1.26,,,0.1902000,0.5300,4.28
740,Kepler-123,c,26.69507400,6089.00,1.26,,,0.1887000,0.2300,4.28
741,Kepler-124,b,3.41049300,4984.00,0.64,,,0.0995000,0.1400,4.67
742,Kepler-124,c,13.82137500,4984.00,0.64,,,0.1480000,0.2300,4.67
743,Kepler-124,d,30.95085100,4984.00,0.64,,,0.1748000,0.4300,4.67
744,Kepler-125,b,4.16438900,3810.00,0.51,,,0.0749000,0.0300,4.74
745,Kepler-125,c,5.77446400,3810.00,0.51,,,0.0782000,0.1200,4.74
746,Kepler-126,b,10.49571100,6239.00,1.36,,,0.2006000,0.6500,4.25
747,Kepler-126,c,21.86974100,6239.00,1.36,,,0.2283000,0.7100,4.25
748,Kepler-126,d,100.28313400,6239.00,1.36,,,0.4517000,0.1400,4.25
749,Kepler-127,b,14.43588900,6106.00,1.36,,,0.1431000,0.4900,4.26
750,Kepler-127,c,29.39319500,6106.00,1.36,,,0.2960000,0.7700,4.26
751,Kepler-127,d,48.63040800,6106.00,1.36,,,0.2924000,0.6200,4.26
752,Kepler-128,b,15.09000000,6090.00,1.66,,,,,4.07
753,Kepler-128,c,22.80400000,6090.00,1.66,,,,,4.07
754,Kepler-129,b,15.79186000,5770.00,1.64,,,0.3032000,0.5400,4.09
755,Kepler-129,c,82.20017000,5770.00,1.64,,,0.4404000,0.1200,4.09
756,Kepler-130,b,8.45745800,5884.00,1.13,,,0.1353000,0.1200,4.30
757,Kepler-130,c,27.50868000,5884.00,1.13,683,0.064000,0.2542000,0.3800,4.30
758,Kepler-130,d,87.51790500,5884.00,1.13,,,0.0760000,0.8400,4.30
759,Kepler-131,b,16.09200000,5685.00,1.03,,,,0.7900,4.42
760,Kepler-131,c,25.51690000,5685.00,1.03,,,,0.2700,4.42
761,Kepler-132,b,6.17819600,6003.00,1.18,,,0.1360000,0.2600,4.31
762,Kepler-132,c,6.41491400,6003.00,1.18,,,0.1375000,0.0800,4.31
763,Kepler-132,d,18.01019900,6003.00,1.18,,,0.1213000,0.0100,4.31
764,Kepler-133,b,8.12997600,5736.00,1.43,,,0.0863000,0.3600,4.19
765,Kepler-133,c,31.51758600,5736.00,1.43,,,0.3235000,0.6800,4.19
766,Kepler-134,b,5.31742900,5983.00,1.18,,,0.1209000,0.1200,4.31
767,Kepler-134,c,10.10578500,5983.00,1.18,,,0.0858000,0.1400,4.31
768,Kepler-135,b,6.00253000,6090.00,1.27,,,0.1647000,0.0000,4.27
769,Kepler-135,c,11.44870800,6090.00,1.27,,,0.2103000,0.5700,4.27
770,Kepler-136,b,11.57890000,6165.00,1.35,,,0.1190000,0.3900,4.24
771,Kepler-136,c,16.39923500,6165.00,1.35,,,0.1459000,0.1000,4.24
772,Kepler-137,b,8.43638700,5187.00,0.80,,,0.1340000,0.0100,4.55
773,Kepler-137,c,18.73575300,5187.00,0.80,,,0.1252000,0.0600,4.55
774,Kepler-138,b,10.31260000,3841.00,0.44,,,,,4.89
775,Kepler-138,c,13.78130000,3841.00,0.44,,,,,4.89
776,Kepler-138,d,23.08810000,3841.00,0.44,,,,,4.89
777,Kepler-139,b,15.77104400,5594.00,1.30,,,0.2112000,0.0600,4.25
778,Kepler-139,c,157.07287800,5594.00,1.30,,,0.3549000,0.8300,4.25
779,Kepler-14,b,6.79012300,6395.00,2.05,,,0.2591000,0.0000,3.99
780,Kepler-140,b,3.25427000,6077.00,1.29,,,0.1241000,0.0500,4.27
781,Kepler-140,c,91.35328200,6077.00,1.29,,,0.3300000,0.1300,4.27
782,Kepler-141,b,3.10767500,4910.00,0.79,,,0.0924000,0.5400,4.57
783,Kepler-141,c,7.01060600,4910.00,0.79,,,0.1244000,0.3100,4.57
784,Kepler-142,b,2.02415200,5790.00,1.27,,,0.1037000,0.4900,4.26
785,Kepler-142,c,4.76170200,5790.00,1.27,,,0.1376000,0.3700,4.26
786,Kepler-142,d,41.80911800,5790.00,1.27,,,0.3620000,0.9400,4.26
787,Kepler-143,b,16.00758300,5848.00,1.36,,,0.0472000,0.7900,4.20
788,Kepler-143,c,27.08251100,5848.00,1.36,,,0.2126000,0.8900,4.20
789,Kepler-144,b,5.88527300,6075.00,1.24,,,0.0780000,0.3400,4.29
790,Kepler-144,c,10.10466500,6075.00,1.24,,,0.0949000,0.2500,4.29
791,Kepler-145,b,22.95100000,6022.00,1.85,,,,,4.02
792,Kepler-145,c,42.88200000,6022.00,1.85,,,,,4.02
793,Kepler-146,b,31.15879900,5948.00,1.21,,,0.2162000,0.2100,4.31
794,Kepler-146,c,76.73217100,5948.00,1.21,,,0.2590000,0.1200,4.31
795,Kepler-147,b,12.61058400,6012.00,1.47,,,0.1853000,0.5100,4.18
796,Kepler-147,c,33.41642300,6012.00,1.47,,,0.3039000,0.0200,4.18
